from,to,length,path
N021,N021,0.0,
N021,N024,576.6664377000001,"['N021', 'N024']"
N021,N029,1217.1915634000002,"['N021', 'N024', 'N029']"
N021,N031,1176.1179135,"['N021', 'N024', 'N031']"
N021,N026,592.9372942,"['N021', 'N026']"
N021,N036,1675.461881,"['N021', 'N024', 'N031', 'N036']"
N021,N034,1526.0164345,"['N021', 'N024', 'N031', 'N034']"
N021,N047,2209.7714914999997,"['N021', 'N024', 'N031', 'N036', 'N047']"
N021,N051,2047.0623011,"['N021', 'N024', 'N031', 'N034', 'N051']"
N021,N038,1938.25827703,"['N021', 'N024', 'N031', 'N034', 'N040', 'N038']"
N021,N040,1723.8508899,"['N021', 'N024', 'N031', 'N034', 'N040']"
N021,N056,2095.29037026,"['N021', 'N024', 'N031', 'N034', 'N040', 'N056']"
N021,N054,2027.4476793999997,"['N021', 'N026', 'N054']"
N021,N050,1767.9479244,"['N021', 'N026', 'N050']"
N021,N068,2276.3920881,"['N021', 'N024', 'N031', 'N036', 'N068']"
N021,N063,2154.69232461,"['N021', 'N024', 'N031', 'N034', 'N040', 'N063']"
N021,N070,2494.07983715,"['N021', 'N024', 'N031', 'N034', 'N040', 'N056', 'N070']"
N021,N082,2995.8491808999997,"['N021', 'N026', 'N054', 'N082']"
N021,N124,3778.48423607,"['N021', 'N024', 'N031', 'N036', 'N068', 'N124']"
N021,N104,2877.8740795000003,"['N021', 'N024', 'N031', 'N034', 'N051', 'N104']"
N021,N098,2738.77664326,"['N021', 'N024', 'N031', 'N034', 'N040', 'N063', 'N098']"
N021,N084,2812.73144188,"['N021', 'N026', 'N054', 'N084']"
N021,N142,3917.02980905,"['N021', 'N024', 'N031', 'N034', 'N040', 'N063', 'N142']"
N021,N159,4140.6000159099995,"['N021', 'N024', 'N031', 'N034', 'N040', 'N063', 'N159']"
N021,N161,4501.43397444,"['N021', 'N024', 'N031', 'N034', 'N051', 'N104', 'N161']"
N021,N176,4756.024384209999,"['N021', 'N024', 'N031', 'N034', 'N040', 'N063', 'N159', 'N176']"
N021,N177,4911.92059755,"['N021', 'N024', 'N031', 'N034', 'N040', 'N063', 'N142', 'N177']"
N024,N021,576.6664377000001,"['N024', 'N021']"
N024,N024,0.0,
N024,N029,640.5251257,"['N024', 'N029']"
N024,N031,599.4514757999999,"['N024', 'N031']"
N024,N026,1169.6037319,"['N024', 'N021', 'N026']"
N024,N036,1098.7954433,"['N024', 'N031', 'N036']"
N024,N034,949.3499967999999,"['N024', 'N031', 'N034']"
N024,N047,1633.1050538,"['N024', 'N031', 'N036', 'N047']"
N024,N051,1470.3958633999998,"['N024', 'N031', 'N034', 'N051']"
N024,N038,1361.5918393299999,"['N024', 'N031', 'N034', 'N040', 'N038']"
N024,N040,1147.1844522,"['N024', 'N031', 'N034', 'N040']"
N024,N056,1518.6239325599997,"['N024', 'N031', 'N034', 'N040', 'N056']"
N024,N054,1877.9961910299999,"['N024', 'N031', 'N034', 'N040', 'N038', 'N054']"
N024,N050,2276.69055843,"['N024', 'N031', 'N034', 'N040', 'N038', 'N050']"
N024,N068,1699.7256504,"['N024', 'N031', 'N036', 'N068']"
N024,N063,1578.02588691,"['N024', 'N031', 'N034', 'N040', 'N063']"
N024,N070,1917.4133994499998,"['N024', 'N031', 'N034', 'N040', 'N056', 'N070']"
N024,N082,2846.39769253,"['N024', 'N031', 'N034', 'N040', 'N038', 'N054', 'N082']"
N024,N124,3201.8177983699993,"['N024', 'N031', 'N036', 'N068', 'N124']"
N024,N104,2301.2076417999997,"['N024', 'N031', 'N034', 'N051', 'N104']"
N024,N098,2162.11020556,"['N024', 'N031', 'N034', 'N040', 'N063', 'N098']"
N024,N084,2606.60831982,"['N024', 'N031', 'N034', 'N040', 'N056', 'N070', 'N084']"
N024,N142,3340.36337135,"['N024', 'N031', 'N034', 'N040', 'N063', 'N142']"
N024,N159,3563.93357821,"['N024', 'N031', 'N034', 'N040', 'N063', 'N159']"
N024,N161,3924.7675367399997,"['N024', 'N031', 'N034', 'N051', 'N104', 'N161']"
N024,N176,4179.35794651,"['N024', 'N031', 'N034', 'N040', 'N063', 'N159', 'N176']"
N024,N177,4335.25415985,"['N024', 'N031', 'N034', 'N040', 'N063', 'N142', 'N177']"
N029,N021,1217.1915634000002,"['N029', 'N024', 'N021']"
N029,N024,640.5251257,"['N029', 'N024']"
N029,N029,0.0,
N029,N031,1027.0793291999998,"['N029', 'N036', 'N031']"
N029,N026,1709.8390772999999,"['N029', 'N036', 'N031', 'N026']"
N029,N036,527.7353617,"['N029', 'N036']"
N029,N034,1284.3827649,"['N029', 'N036', 'N034']"
N029,N047,1062.0449721999998,"['N029', 'N036', 'N047']"
N029,N051,932.4848331999999,"['N029', 'N036', 'N051']"
N029,N038,1675.2573260299998,"['N029', 'N036', 'N051', 'N040', 'N038']"
N029,N040,1460.8499388999999,"['N029', 'N036', 'N051', 'N040']"
N029,N056,1321.9016932599998,"['N029', 'N036', 'N051', 'N056']"
N029,N054,1744.72492505,"['N029', 'N036', 'N051', 'N056', 'N054']"
N029,N050,2146.36035465,"['N029', 'N036', 'N051', 'N056', 'N054', 'N050']"
N029,N068,1128.6655687999998,"['N029', 'N036', 'N068']"
N029,N063,1378.34199781,"['N029', 'N036', 'N051', 'N063']"
N029,N070,1720.6911601499999,"['N029', 'N036', 'N051', 'N056', 'N070']"
N029,N082,2713.12642655,"['N029', 'N036', 'N051', 'N056', 'N054', 'N082']"
N029,N124,2582.22206562,"['N029', 'N124']"
N029,N104,1763.2966116,"['N029', 'N036', 'N051', 'N104']"
N029,N098,1939.57150677,"['N029', 'N036', 'N051', 'N098']"
N029,N084,2409.88608052,"['N029', 'N036', 'N051', 'N056', 'N070', 'N084']"
N029,N142,3140.67948225,"['N029', 'N036', 'N051', 'N063', 'N142']"
N029,N159,3295.87036647,"['N029', 'N036', 'N051', 'N159']"
N029,N161,3386.85650654,"['N029', 'N036', 'N051', 'N104', 'N161']"
N029,N176,3911.29473477,"['N029', 'N036', 'N051', 'N159', 'N176']"
