edge_id,source,target,weight
0,N082,N142,1915.3868254800002
1,N142,N082,1915.3868254800002
2,N142,N177,994.8907885
3,N177,N142,994.8907885
4,N082,N177,2740.65256825
5,N177,N082,2740.65256825
6,N082,N084,630.0676450999999
7,N084,N082,630.0676450999999
8,N084,N142,1546.8443276
9,N142,N084,1546.8443276
10,N098,N084,604.1642064999999
11,N084,N098,604.1642064999999
12,N098,N142,1257.8261169000002
13,N142,N098,1257.8261169000002
14,N159,N161,1026.7085411
15,N161,N159,1026.7085411
16,N161,N176,915.9907558
17,N176,N161,915.9907558
18,N159,N176,615.4243683
19,N176,N159,615.4243683
20,N142,N159,729.7234948
21,N159,N142,729.7234948
22,N159,N177,992.6933955999999
23,N177,N159,992.6933955999999
24,N176,N177,493.9674829
25,N177,N176,493.9674829
26,N068,N124,1502.09214797
27,N124,N068,1502.09214797
28,N124,N104,1392.0960900700002
29,N104,N124,1392.0960900700002
30,N068,N104,842.8190682999999
31,N104,N068,842.8190682999999
32,N104,N161,1623.55989494
33,N161,N104,1623.55989494
34,N124,N161,1243.3293459400002
35,N161,N124,1243.3293459400002
36,N104,N159,1537.65621647
37,N159,N104,1537.65621647
38,N104,N098,409.33375049999995
39,N098,N104,409.33375049999995
40,N104,N142,1535.22768453
41,N142,N104,1535.22768453
42,N047,N068,776.7619323999999
43,N068,N047,776.7619323999999
44,N047,N124,1767.8295314300003
45,N124,N047,1767.8295314300003
46,N029,N036,527.7353617
47,N036,N029,527.7353617
48,N036,N047,534.3096105
49,N047,N036,534.3096105
50,N029,N047,1062.0449721999998
51,N047,N029,1062.0449721999998
52,N036,N068,600.9302071
53,N068,N036,600.9302071
54,N021,N026,592.9372942
55,N026,N021,592.9372942
56,N026,N050,1175.0106302
57,N050,N026,1175.0106302
58,N021,N050,1767.9479244
59,N050,N021,1767.9479244
60,N054,N050,401.6354296
61,N050,N054,401.6354296
62,N050,N082,1235.7588207499998
63,N082,N050,1235.7588207499998
64,N054,N082,968.4015014999999
65,N082,N054,968.4015014999999
66,N054,N084,785.28376248
67,N084,N054,785.28376248
68,N063,N104,853.76205618
69,N104,N063,853.76205618
70,N063,N098,584.08431865
71,N098,N063,584.08431865
72,N031,N036,499.34396749999996
73,N036,N031,499.34396749999996
74,N036,N034,756.6474032
75,N034,N036,756.6474032
76,N031,N034,349.898521
77,N034,N031,349.898521
78,N021,N031,1176.1179135
79,N031,N021,1176.1179135
80,N031,N026,682.7597481
81,N026,N031,682.7597481
82,N063,N070,347.99570918999996
83,N070,N063,347.99570918999996
84,N070,N098,491.35883012
85,N098,N070,491.35883012
86,N070,N084,689.19492037
87,N084,N070,689.19492037
88,N054,N070,648.1310565
89,N070,N054,648.1310565
90,N034,N051,521.0458666
91,N051,N034,521.0458666
92,N036,N051,404.7494715
93,N051,N036,404.7494715
94,N051,N068,518.0790277
95,N068,N051,518.0790277
96,N051,N104,830.8117783999999
97,N104,N051,830.8117783999999
98,N051,N063,445.8571646099999
99,N063,N051,445.8571646099999
100,N024,N029,640.5251257
101,N029,N024,640.5251257
102,N024,N036,1098.7954433
103,N036,N024,1098.7954433
104,N024,N031,599.4514757999999
105,N031,N024,599.4514757999999
106,N021,N024,576.6664377000001
107,N024,N021,576.6664377000001
108,N056,N063,268.77387779000003
109,N063,N056,268.77387779000003
110,N056,N070,398.78946689
111,N070,N056,398.78946689
112,N056,N054,422.82323178999997
113,N054,N056,422.82323178999997
114,N051,N040,528.3651057
115,N040,N051,528.3651057
116,N040,N063,430.84143471000004
117,N063,N040,430.84143471000004
118,N040,N056,371.43948036
119,N056,N040,371.43948036
120,N034,N040,197.8344554
121,N040,N034,197.8344554
122,N034,N038,412.24184253
123,N038,N034,412.24184253
124,N038,N040,214.40738713000002
125,N040,N038,214.40738713000002
126,N031,N038,762.1403635300001
127,N038,N031,762.1403635300001
128,N026,N038,1403.0460045
129,N038,N026,1403.0460045
130,N038,N050,915.0987190999999
131,N050,N038,915.0987190999999
132,N038,N054,516.4043517
133,N054,N038,516.4043517
134,N038,N056,370.59346859
135,N056,N038,370.59346859
