condition,nodes,edges,length,objVal,calcTime
N036_N159_spath,"['N036', 'N051', 'N104', 'N159']","[92, 96, 36]",2773.21746637,0.02987207,0
N036_N159_5000_F,"['N034', 'N051', 'N040', 'N036', 'N038', 'N031', 'N068', 'N104', 'N159']","[30, 36, 73, 76, 94, 115, 122, 124]",4902.8111363299995,4.10773674,0.2862210273742676
N036_N159_7500_F,"['N161', 'N177', 'N036', 'N142', 'N176', 'N124', 'N031', 'N068', 'N159']","[3, 16, 20, 24, 26, 34, 52, 72, 73]",7479.61215801,15.87067763,0.3486168384552002
N036_N159_10000_F,"['N161', 'N051', 'N177', 'N082', 'N040', 'N084', 'N036', 'N176', 'N050', 'N124', 'N038', 'N054', 'N104', 'N159', 'N098']","[6, 11, 16, 23, 24, 29, 34, 39, 60, 62, 92, 114, 125, 132]",9982.963238790002,36.39988758,0.44359517097473145
N036_N159_12500_F,"['N034', 'N161', 'N177', 'N082', 'N036', 'N084', 'N142', 'N176', 'N050', 'N124', 'N038', 'N031', 'N054', 'N104', 'N159', 'N029', 'N098']","[3, 6, 11, 16, 20, 24, 29, 34, 39, 46, 47, 60, 62, 73, 76, 122, 132]",11884.31721659,52.68819467000001,0.3524911403656006
N036_N159_15000_F,"['N051', 'N024', 'N036', 'N176', 'N104', 'N161', 'N084', 'N050', 'N054', 'N034', 'N082', 'N040', 'N142', 'N031', 'N068', 'N026', 'N159', 'N029', 'N177', 'N021', 'N124', 'N038', 'N098']","[3, 6, 11, 16, 20, 24, 29, 34, 39, 47, 53, 54, 60, 62, 76, 81, 92, 94, 101, 107, 120, 125, 132]",14873.885199389999,71.26233385,0.19776105880737305
N021_N124_spath,"['N021', 'N031', 'N036', 'N068', 'N124']","[78, 72, 52, 26]",3778.48423607,0.0,0
N021_N124_5000_F,"['N034', 'N051', 'N040', 'N024', 'N021', 'N124', 'N038', 'N031', 'N068']","[26, 76, 94, 104, 106, 115, 122, 124]",4701.201945530001,3.52130081,0.16492390632629395
N021_N124_7500_F,"['N034', 'N051', 'N036', 'N024', 'N084', 'N021', 'N124', 'N038', 'N031', 'N054', 'N104', 'N029', 'N098']","[11, 29, 39, 46, 66, 77, 91, 92, 100, 106, 126, 132]",7490.043308980001,11.640103220000002,0.6042098999023438
N021_N124_10000_F,"['N161', 'N177', 'N082', 'N021', 'N084', 'N142', 'N024', 'N176', 'N050', 'N124', 'N026']","[2, 6, 8, 17, 25, 35, 54, 56, 62, 106, 107]",9982.129966389999,32.5807153,0.21055197715759277
N021_N124_12500_F,"['N034', 'N161', 'N177', 'N082', 'N036', 'N084', 'N142', 'N024', 'N176', 'N050', 'N021', 'N124', 'N038', 'N026', 'N031', 'N054', 'N029']","[2, 6, 8, 17, 25, 35, 46, 54, 55, 60, 62, 73, 76, 100, 106, 122, 132]",12171.174792419999,46.62565195,0.28719496726989746
N021_N124_15000_F,"['N051', 'N036', 'N024', 'N176', 'N104', 'N161', 'N084', 'N050', 'N054', 'N034', 'N082', 'N142', 'N031', 'N026', 'N159', 'N029', 'N177', 'N021', 'N124', 'N038', 'N098']","[2, 6, 11, 17, 21, 25, 35, 36, 39, 46, 54, 55, 60, 62, 77, 91, 92, 100, 106, 126, 132]",14681.558024689999,57.22718434999998,1.8132851123809814
N021_N159_spath,"['N021', 'N031', 'N034', 'N051', 'N104', 'N159']","[78, 76, 90, 96, 36]",4415.53029597,0.14072637000000002,0
N021_N159_5000_F,"['N034', 'N051', 'N024', 'N021', 'N031', 'N068', 'N104', 'N159']","[30, 36, 76, 90, 94, 104, 106]",4945.6166135700005,2.7373331800000003,0.07407498359680176
N021_N159_7500_F,"['N177', 'N082', 'N021', 'N084', 'N142', 'N176', 'N050', 'N026', 'N054', 'N159']","[2, 6, 8, 19, 25, 54, 56, 61, 64]",7419.1794678999995,13.0224404,0.5807769298553467
N021_N159_10000_F,"['N161', 'N177', 'N082', 'N021', 'N084', 'N176', 'N050', 'N124', 'N026', 'N054', 'N104', 'N159', 'N098']","[6, 11, 16, 23, 24, 29, 34, 39, 54, 56, 61, 64]",9819.627527910001,35.32514349,0.30339503288269043
N021_N159_12500_F,"['N036', 'N024', 'N176', 'N104', 'N161', 'N084', 'N054', 'N034', 'N082', 'N040', 'N031', 'N026', 'N159', 'N029', 'N177', 'N021', 'N124', 'N038', 'N098']","[6, 11, 16, 23, 24, 29, 34, 39, 46, 54, 55, 64, 73, 76, 100, 106, 120, 125, 132]",12358.734370140002,52.57474738,0.35723400115966797
