from,to,length,path
10,10,0,
10,17,2262,"[10, 17]"
10,18,1352,"[10, 18]"
10,19,822,"[10, 19]"
10,20,1658,"[10, 19, 20]"
10,21,1583,"[10, 19, 21]"
10,29,4161,"[10, 17, 29]"
10,32,3701,"[10, 17, 32]"
10,33,3270,"[10, 19, 20, 34, 33]"
10,34,2202,"[10, 19, 20, 34]"
10,35,2180,"[10, 19, 21, 35]"
10,36,2828,"[10, 19, 20, 34, 36]"
10,37,2796,"[10, 19, 21, 35, 37]"
10,46,6015,"[10, 17, 29, 47, 46]"
10,47,5099,"[10, 17, 29, 47]"
10,48,4786,"[10, 17, 32, 48]"
10,49,5654,"[10, 17, 32, 48, 49]"
10,50,5125,"[10, 19, 20, 34, 33, 51, 50]"
10,51,4138,"[10, 19, 20, 34, 33, 51]"
10,52,3784,"[10, 19, 20, 34, 36, 52]"
10,53,4685,"[10, 19, 20, 34, 36, 52, 53]"
10,54,4284,"[10, 19, 20, 34, 36, 52, 54]"
10,55,3552,"[10, 19, 20, 34, 36, 55]"
10,56,3620,"[10, 19, 21, 35, 37, 56]"
10,57,4361,"[10, 19, 20, 34, 36, 55, 57]"
10,58,4358,"[10, 19, 21, 35, 37, 56, 58]"
10,66,6647,"[10, 17, 29, 47, 46, 66]"
10,68,6975,"[10, 19, 20, 34, 33, 51, 50, 69, 68]"
10,69,6220,"[10, 19, 20, 34, 33, 51, 50, 69]"
10,70,5920,"[10, 19, 20, 34, 33, 51, 50, 70]"
10,71,6726,"[10, 19, 20, 34, 33, 51, 50, 70, 71]"
10,72,6284,"[10, 19, 20, 34, 36, 52, 54, 73, 72]"
10,73,5251,"[10, 19, 20, 34, 36, 52, 54, 73]"
10,74,4778,"[10, 19, 20, 34, 36, 52, 54, 74]"
10,76,5377,"[10, 19, 20, 34, 36, 52, 54, 74, 76]"
10,77,5356,"[10, 19, 20, 34, 36, 55, 57, 77]"
10,78,5204,"[10, 19, 21, 35, 37, 56, 58, 78]"
10,79,5549,"[10, 19, 20, 34, 36, 52, 54, 74, 79]"
10,80,6117,"[10, 19, 21, 35, 37, 56, 58, 78, 80]"
10,85,7927,"[10, 19, 20, 34, 33, 51, 50, 69, 68, 85]"
10,86,7817,"[10, 19, 20, 34, 33, 51, 50, 69, 68, 86]"
10,88,7871,"[10, 19, 20, 34, 36, 52, 54, 73, 72, 89, 88]"
10,89,7040,"[10, 19, 20, 34, 36, 52, 54, 73, 72, 89]"
10,90,6525,"[10, 19, 20, 34, 36, 52, 54, 74, 90]"
10,91,7671,"[10, 19, 20, 34, 36, 52, 54, 73, 72, 89, 91]"
10,92,7275,"[10, 19, 20, 34, 36, 52, 54, 74, 90, 92]"
10,93,6419,"[10, 19, 20, 34, 36, 52, 54, 74, 93]"
10,94,6363,"[10, 19, 20, 34, 36, 52, 54, 74, 76, 94]"
10,95,9236,"[10, 19, 20, 34, 36, 52, 54, 74, 76, 94, 96, 95]"
10,96,6860,"[10, 19, 20, 34, 36, 52, 54, 74, 76, 94, 96]"
10,97,6563,"[10, 19, 20, 34, 36, 52, 54, 74, 79, 97]"
10,104,9979,"[10, 19, 20, 34, 36, 52, 54, 73, 72, 89, 88, 105, 104]"
10,105,8773,"[10, 19, 20, 34, 36, 52, 54, 73, 72, 89, 88, 105]"
10,106,8435,"[10, 19, 20, 34, 36, 52, 54, 73, 72, 89, 88, 106]"
10,108,9038,"[10, 19, 20, 34, 36, 52, 54, 73, 72, 89, 88, 106, 108]"
10,109,8316,"[10, 19, 20, 34, 36, 52, 54, 73, 72, 89, 91, 109]"
10,110,7845,"[10, 19, 20, 34, 36, 52, 54, 74, 90, 92, 110]"
10,111,8982,"[10, 19, 20, 34, 36, 52, 54, 73, 72, 89, 91, 109, 111]"
10,112,8554,"[10, 19, 20, 34, 36, 52, 54, 74, 90, 92, 110, 112]"
10,116,883,"[10, 116]"
10,117,1438,"[10, 116, 117]"
10,118,1869,"[10, 116, 118]"
10,119,2480,"[10, 116, 117, 119]"
10,120,2503,"[10, 116, 117, 120]"
10,121,3662,"[10, 116, 117, 120, 121]"
10,122,3399,"[10, 116, 117, 120, 122]"
10,123,3006,"[10, 116, 118, 123]"
10,124,3564,"[10, 116, 117, 120, 124]"
10,125,3916,"[10, 19, 21, 35, 37, 125]"
10,126,3950,"[10, 116, 117, 120, 122, 126]"
10,127,4656,"[10, 19, 21, 35, 37, 56, 127]"
10,129,4307,"[10, 116, 117, 120, 124, 129]"
10,131,5211,"[10, 19, 21, 35, 37, 56, 58, 131]"
10,135,5461,"[10, 116, 117, 120, 122, 126, 135]"
17,10,2262,"[17, 10]"
17,17,0,
17,18,1098,"[17, 18]"
17,19,1766,"[17, 18, 19]"
17,20,987,"[17, 20]"
17,21,1961,"[17, 20, 21]"
17,29,1899,"[17, 29]"
