source,target,weight
1,2,6964
1,3,6443
2,1,6964
2,3,521
2,4,702
2,7,232
2,8,3999
3,1,6443
3,2,521
3,7,753
3,8,3478
4,2,702
4,5,724
4,6,289
4,7,471
4,9,5241
5,4,724
5,6,435
5,11,732
5,14,313
5,15,5399
6,4,289
6,5,435
6,7,759
6,9,5530
6,14,748
6,15,5835
6,18,5567
7,2,232
7,3,753
7,4,471
7,6,759
7,8,4231
7,9,4770
7,10,4152
8,2,3999
8,3,3478
8,7,4231
8,9,539
8,10,193
9,4,5241
9,6,5530
9,7,4770
9,8,539
9,10,732
9,15,836
9,18,620
9,19,1060
10,7,4152
10,8,193
10,9,732
10,18,1352
10,19,822
10,116,883
11,5,732
11,12,737
11,13,289
11,14,420
11,16,4247
12,11,737
12,13,448
12,23,729
12,26,500
12,27,2140
13,11,289
13,12,448
13,14,708
13,16,3958
13,26,948
13,27,2588
13,30,3155
14,5,313
14,6,748
14,11,420
14,13,708
14,15,5087
14,16,4666
14,17,4848
15,5,5399
15,6,5835
15,9,836
15,14,5087
15,16,972
15,17,694
15,18,680
15,20,1337
16,11,4247
16,13,3958
16,14,4666
16,15,972
16,17,733
16,27,2479
16,30,803
16,31,852
17,14,4848
17,15,694
17,16,733
17,18,1098
17,20,987
17,30,984
17,31,565
17,34,897
18,6,5567
18,9,620
18,10,1352
18,15,680
18,17,1098
18,19,668
18,20,881
18,21,1258
19,9,1060
19,10,822
19,18,668
19,20,836
19,21,761
19,116,746
19,117,782
20,15,1337
20,17,987
20,18,881
20,19,836
20,21,974
20,31,963
20,34,544
20,35,1271
21,18,1258
21,19,761
21,20,974
21,34,1178
21,35,597
21,116,849
21,117,618
21,119,1397
22,24,395
22,39,6305
22,40,328
22,43,2318
23,12,729
23,24,781
23,25,1953
23,26,1202
23,28,1686
24,22,395
24,23,781
24,25,2734
24,40,723
24,43,2713
24,44,3186
25,23,1953
25,24,2734
25,26,1197
25,28,1573
25,43,1348
25,44,452
25,47,891
26,12,500
26,13,948
26,23,1202
26,25,1197
26,27,1640
26,28,484
26,29,1514
27,12,2140
27,13,2588
27,16,2479
27,26,1640
27,28,1156
27,29,983
27,30,1676
27,32,1471
28,23,1686
28,25,1573
28,26,484
28,27,1156
28,29,1030
28,44,1287
28,47,820
28,48,892
29,26,1514
29,27,983
29,28,1030
29,30,915
29,32,710
29,47,938
29,48,680
29,51,881
30,13,3155
30,16,803
30,17,984
30,27,1676
30,29,915
30,31,705
30,32,455
30,33,914
31,16,852
31,17,565
31,20,963
31,30,705
31,32,1160
31,33,703
31,34,811
31,36,1144
32,27,1471
32,29,710
32,30,455
32,31,1160
32,33,643
32,48,1085
32,51,598
32,52,1057
33,30,914
33,31,703
33,32,643
33,34,1068
33,36,604
33,51,868
33,52,633
33,55,869
34,17,897
34,20,544
34,21,1178
34,31,811
34,33,1068
34,35,857
34,36,626
34,37,1021
35,20,1271
35,21,597
35,34,857
35,36,1006
35,37,616
35,117,978
35,119,1183
35,121,1664
36,31,1144
36,33,604
36,34,626
36,35,1006
36,37,867
36,52,956
36,55,724
36,56,1289
37,34,1021
37,35,616
37,36,867
37,55,935
37,56,824
37,119,1206
37,121,1545
37,125,1120
38,39,1587
38,41,305
38,59,327
38,61,608
39,22,6305
39,38,1587
39,40,5977
39,41,1892
39,42,5504
40,22,328
40,24,723
40,39,5977
40,41,6391
40,42,881
40,43,1990
40,45,1631
41,38,305
41,39,1892
41,40,6391
41,42,5918
41,59,632
41,61,913
41,62,5446
42,39,5504
42,40,881
42,41,5918
42,43,1109
42,45,750
42,61,5514
42,62,472
42,65,1184
43,22,2318
43,24,2713
43,25,1348
43,40,1990
43,42,1109
43,44,1726
43,45,600
43,46,1258
44,24,3186
