condition,nodes,edges,length,objVal,calcTime
104_21_spath,"[104, 105, 88, 89, 72, 73, 54, 55, 37, 35, 21]",[],8679,1.456003968,0
104_21_10000_F,"[34, 35, 36, 72, 73, 74, 105, 104, 52, 21, 54, 55, 88, 89]","[(34, 35), (35, 21), (36, 34), (52, 55), (54, 52), (55, 36), (72, 73), (73, 74), (74, 54), (88, 89), (89, 72), (104, 105), (105, 88)]",9927,23.916236032999997,1.2765254974365234
104_21_15000_F,"[21, 32, 33, 34, 35, 36, 51, 52, 54, 55, 72, 73, 74, 89, 91, 92, 104, 105, 106, 109, 110]","[(32, 33), (33, 36), (34, 35), (35, 21), (36, 34), (51, 32), (52, 51), (54, 55), (55, 52), (72, 73), (73, 74), (74, 54), (89, 72), (91, 89), (92, 91), (104, 105), (105, 106), (106, 109), (109, 110), (110, 92)]",14994,79.753439469,2.5381507873535156
104_21_20000_F,"[21, 32, 33, 34, 35, 36, 51, 52, 54, 55, 56, 57, 58, 72, 73, 74, 77, 78, 89, 91, 92, 104, 105, 106, 109, 110, 112]","[(32, 33), (33, 36), (34, 35), (35, 21), (36, 34), (51, 32), (52, 51), (54, 57), (55, 52), (56, 55), (57, 77), (58, 56), (72, 73), (73, 74), (74, 54), (77, 78), (78, 58), (89, 72), (91, 89), (92, 91), (104, 105), (105, 106), (106, 109), (109, 112), (110, 92), (112, 110)]",19836,144.42846252099997,1.9995880126953125
104_21_25000_F,"[131, 21, 32, 33, 34, 35, 36, 51, 52, 53, 54, 55, 56, 57, 58, 70, 71, 73, 74, 77, 78, 79, 80, 89, 91, 92, 104, 105, 106, 108, 109, 110, 111, 112, 127]","[(32, 33), (33, 36), (34, 35), (35, 21), (36, 34), (51, 32), (52, 51), (53, 54), (54, 74), (55, 52), (56, 55), (57, 77), (58, 56), (70, 73), (71, 70), (73, 53), (74, 57), (77, 79), (78, 131), (79, 80), (80, 78), (89, 71), (91, 89), (92, 91), (104, 105), (105, 106), (106, 108), (108, 111), (109, 112), (110, 92), (111, 109), (112, 110), (127, 58), (131, 127)]",24931,191.65662586699995,21.52735710144043
104_50_spath,"[104, 85, 68, 69, 50]",[],5124,0.015143855999999999,0
104_50_10000_F,"[72, 73, 106, 105, 104, 109, 50, 51, 52, 54, 55, 89, 91]","[(51, 50), (52, 51), (54, 55), (55, 52), (72, 73), (73, 54), (89, 72), (91, 89), (104, 105), (105, 106), (106, 109), (109, 91)]",9916,24.325564963999998,9.44473648071289
104_50_15000_F,"[89, 34, 35, 36, 37, 72, 73, 74, 106, 105, 109, 104, 50, 51, 52, 55, 56, 57, 58, 91]","[(34, 36), (35, 34), (36, 55), (37, 35), (51, 50), (52, 51), (55, 52), (56, 37), (57, 58), (58, 56), (72, 73), (73, 74), (74, 57), (89, 72), (91, 89), (104, 105), (105, 106), (106, 109), (109, 91)]",14968,72.881191174,16.84893035888672
104_50_20000_F,"[34, 35, 36, 37, 50, 51, 52, 54, 55, 56, 57, 58, 72, 73, 74, 77, 78, 89, 91, 92, 104, 105, 106, 109, 110, 112]","[(34, 36), (35, 34), (36, 55), (37, 35), (51, 50), (52, 51), (54, 52), (55, 57), (56, 37), (57, 54), (58, 56), (72, 73), (73, 74), (74, 77), (77, 78), (78, 58), (89, 72), (91, 89), (92, 91), (104, 105), (105, 106), (106, 109), (109, 112), (110, 92), (112, 110)]",19901,138.352567917,9.795736312866211
104_50_25000_F,"[20, 21, 32, 33, 34, 35, 36, 37, 50, 51, 52, 53, 54, 55, 56, 57, 58, 70, 71, 73, 74, 77, 78, 79, 80, 89, 91, 92, 104, 105, 106, 108, 109, 110, 112]","[(20, 34), (21, 20), (32, 51), (33, 32), (34, 36), (35, 21), (36, 33), (37, 35), (51, 53), (52, 55), (53, 50), (54, 52), (55, 57), (56, 37), (57, 77), (58, 56), (70, 73), (71, 70), (73, 74), (74, 54), (77, 79), (78, 58), (79, 80), (80, 78), (89, 71), (91, 89), (92, 91), (104, 105), (105, 106), (106, 108), (108, 109), (109, 112), (110, 92), (112, 110)]",24973,199.54728653299995,4.038139343261719
